DataType,ResourceName,RDataPath,DispatchClass,RDataClass,Maintainer,DataProvider,Coordinate_1_based,TaxonomyId,Species,SourceVersion,SourceUrl,SourceType,Genome,BiocVersion,Description,Title
mouse_gastrulation,scnmt_acc_cgi.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_acc_cgi.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_acc_cgi data specific to the MOUSE_GASTRULATION project,scnmt_acc_cgi
mouse_gastrulation,scnmt_acc_CTCF.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_acc_CTCF.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_acc_CTCF data specific to the MOUSE_GASTRULATION project,scnmt_acc_CTCF
mouse_gastrulation,scnmt_acc_DHS.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_acc_DHS.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_acc_DHS data specific to the MOUSE_GASTRULATION project,scnmt_acc_DHS
mouse_gastrulation,scnmt_acc_genebody.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_acc_genebody.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_acc_genebody data specific to the MOUSE_GASTRULATION project,scnmt_acc_genebody
mouse_gastrulation,scnmt_acc_p300.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_acc_p300.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_acc_p300 data specific to the MOUSE_GASTRULATION project,scnmt_acc_p300
mouse_gastrulation,scnmt_acc_promoter.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_acc_promoter.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_acc_promoter data specific to the MOUSE_GASTRULATION project,scnmt_acc_promoter
mouse_gastrulation,scnmt_colData.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_colData.rda,Rda,data.frame,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_colData data specific to the MOUSE_GASTRULATION project,scnmt_colData
mouse_gastrulation,scnmt_met_cgi.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_met_cgi.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_met_cgi data specific to the MOUSE_GASTRULATION project,scnmt_met_cgi
mouse_gastrulation,scnmt_met_CTCF.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_met_CTCF.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_met_CTCF data specific to the MOUSE_GASTRULATION project,scnmt_met_CTCF
mouse_gastrulation,scnmt_met_DHS.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_met_DHS.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_met_DHS data specific to the MOUSE_GASTRULATION project,scnmt_met_DHS
mouse_gastrulation,scnmt_met_genebody.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_met_genebody.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_met_genebody data specific to the MOUSE_GASTRULATION project,scnmt_met_genebody
mouse_gastrulation,scnmt_met_p300.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_met_p300.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_met_p300 data specific to the MOUSE_GASTRULATION project,scnmt_met_p300
mouse_gastrulation,scnmt_met_promoter.rda,SingleCellMultiModal/mouse_gastrulation/v1.0.0/scnmt_met_promoter.rda,Rda,matrix,Ricard Argelaguet <ricard@ebi.ac.uk>,"Dept. of Bioinformatics, The Babraham Institute, United Kingdom",NA,10090,Mus musculus,1.0.0,https://cloudstor.aarnet.edu.au/plus/s/Xzf5vCgAEUVgbfQ,RDS,NA,3.12,scnmt_met_promoter data specific to the MOUSE_GASTRULATION project,scnmt_met_promoter
